branch,slug,description,dir1,dir2,dir3,dir4
"feat/common/progress-stage-vocab-unify","progress-stage-vocab-unify","進捗ステージ語彙を共通化し shape/location/route と UI 凡例へ反映","packages/common/types","packages/node-type/shape-plugin","packages/node-type/location-plugin","packages/node-type/route-plugin"
"feat/location/batch-session-v2","batch-session-v2","Location を AbstractBatchSession 化（pause/resume/cancel・ProgressEvent 統一）","packages/node-type/location-plugin","","",""
"feat/route/progress-controls-pause-resume","progress-controls-pause-resume","RouteProgress に Pause/Resume/失敗要約を配線","packages/node-type/route-plugin","","",""
"feat/shape/batch-monitor-wireup","batch-monitor-wireup","Shape 監視ダイアログ配線（Start/Pause/Resume/Stop と進捗集約）","packages/node-type/shape-plugin","","",""
"feat/location/stepper-migration-and-wiring","stepper-migration-and-wiring","Location 4ステップ化＋バッチ配線整理","packages/node-type/location-plugin","","",""
"feat/basemap/extract-dialog-and-apply-validation","extract-dialog-and-apply-validation","BaseMapDialog 抽出と保存時バリデーション適用","packages/node-type/basemap-plugin","","",""
"feat/spreadsheet/steps-impl-minimum","steps-impl-minimum","Spreadsheet Step2/3 の最小実装（DataSource/Filtering）","packages/node-type/spreadsheet-plugin","","",""
"feat/styler/preview-stub-and-config-io","preview-stub-and-config-io","Styler プレビュー用スタブと設定の保存/読込テスト","packages/node-type/styler-plugin","","",""
"feat/route/engine-registry","engine-registry","ルート生成エンジンのレジストリ化と切替制御","packages/node-type/route-plugin","","",""
"refactor/shape/batch-to-session","batch-to-session","Shape の Batch 責務を Session へ集約","packages/node-type/shape-plugin","","",""
"feat/common/validation-pipeline","validation-pipeline","共通の検証/フィルタパイプライン導入（location/route/shape 適用）","packages/common/types","packages/node-type/location-plugin","packages/node-type/route-plugin","packages/node-type/shape-plugin"
"feat/common/lane-semaphores","lane-semaphores","レーン別同時実行制御の横展開（shape/location）","packages/common/types","packages/node-type/shape-plugin","packages/node-type/location-plugin",""
"feat/location/auth-registry-integration","auth-registry-integration","Location: 認証レジストリ連携で pause/resume/cancel を制御","packages/node-type/location-plugin","","",""
"feat/route/vector-tiler-lite","vector-tiler-lite","Route 用の軽量ベクタータイル抽出/適用","packages/node-type/route-plugin","","",""
"feat/ui/ui-batch-wizard","ui-batch-wizard","バッチ用ウィザード/ダイアログの共通部品化","packages/runtime-ui/plugin-dialog","","",""
"fix/resolver/error-notify","error-notify","Resolver: 失敗時の Snackbar/Alert 通知実装","packages/node-type/resolver-plugin","","",""
"feat/spreadsheet/filtering-ui","filtering-ui","Spreadsheet: Filtering UI 実装＋テスト","packages/node-type/spreadsheet-plugin","","",""
"feat/styler/jenks-equal-interval","jenks-equal-interval","Styler: Jenks/等間隔の分類アルゴリズム実装","packages/node-type/styler-plugin","","",""
"e2e/basemap/smoke","basemap-smoke","BaseMap の簡易 E2E スモーク（作成→保存）","e2e","","",""
"docs/folder/wc-ops-policy","wc-ops-policy","Folder: Working Copy 非対応方針の明文化（docs）","docs","packages/node-type/folder-plugin","",""
"chore/common-types/unused-sweep-v1","unused-sweep-v1","共通型の未使用エクスポート整理（削除候補の可視化）","packages/common/types","","",""
"test/base-plugin/minimal-unit","minimal-unit","BasePlugin の最小ユニットテスト（ハッピーパス/エラー各1）","packages/node-type/base-plugin","","",""
